STT,Player_X Name,Player_O Name,Result,Time,InfoGame
1,tien,tan,tien Wins!,2024-12-24 03:41:17,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
2,Thanh,Tien,Tien Wins!,2024-12-24 03:42:57,0 2 1 1 0 3 0 0 0 4 3 3 0 7 2 2 9 9 1 5 4 4 1 2 9 8 1 3 9 7 1 4 
3,Tien,Thanh,Tien Wins!,2024-12-24 03:45:24,1 1 0 0 0 1 1 0 2 1 5 5 3 1 6 6 4 1 
4,Tien,tien,Tien Wins!,2024-12-24 03:46:04,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
5,Tien,tan,Tien Wins!,2024-12-24 03:56:04,1 1 0 0 0 2 1 3 0 1 0 4 2 1 0 5 3 1 0 6 4 1 
6,Tien,tan,Tien Wins!,2024-12-24 17:05:30,0 0 0 1 1 1 0 2 2 2 0 3 3 3 4 4 0 4 9 9 1 0 0 9 2 0 6 6 3 0 7 7 4 0 
7,caothu1,Tien,caothu1 Wins!,2024-12-24 17:09:41,1 1 0 0 2 2 0 1 3 3 0 2 4 4 0 3 5 5 
8,caothu1,caothu2,caothu1 Wins!,2024-12-24 17:10:42,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
9,caothu1,thanh,caothu1 Wins!,2024-12-24 17:11:06,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
10,Thanh,tan,Thanh Wins!,2024-12-24 17:12:04,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
11,tan,Thanh,tan Wins!,2024-12-24 17:12:51,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
12,Tien,caothu2,Tien Wins!,2024-12-24 17:13:36,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
13,Tien,caothu1,Tien Wins!,2024-12-24 17:15:37,0 0 5 5 0 1 6 6 0 2 7 7 0 3 8 8 0 4 
14,Thanh,caothu1,caothu1 Wins!,2024-12-24 17:16:20,0 0 1 1 0 2 2 2 0 3 3 3 0 4 4 4 0 5 5 5 
15,caothu2,tan,caothu2 Wins!,2024-12-24 17:17:38,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
16,caothu1,Tan,caothu1 Wins!,2024-12-24 17:19:08,5 5 0 0 6 6 0 1 7 7 8 8 4 4 1 1 3 3 
17,Tan,tan,Tan Wins!,2024-12-24 17:19:43,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
18,caothu1,thanh,caothu1 Wins!,2024-12-24 18:41:11,0 0 0 1 1 1 0 2 2 2 3 3 4 4 1 0 0 4 0 5 6 6 9 9 1 8 8 8 2 0 0 9 2 1 0 8 2 3 0 7 2 4 
19,caothu1,Thanh,caothu1 Wins!,2024-12-24 18:45:22,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 4 4 
20,caothu2,Thanh,Thanh Wins!,2024-12-24 18:46:29,0 0 0 1 1 1 0 2 2 2 0 3 3 3 0 4 9 9 0 5 
